2500 3000
2076 1263 168
2337 898 19
2398 829 52
1817 1731 50
1926 659 30
2021 941 161
148 163 56
676 793 162
1755 1399 147
1215 1947 189
2070 1139 64
76 2016 122
476 616 129
735 71 106
1965 2058 163
1662 525 150
2470 331 124
851 1834 126
911 2238 137
838 1279 194
137 715 165
1592 2450 136
6 838 5
1338 124 65
2471 609 169
1782 2086 153
874 1153 195
2377 1327 197
73 1250 41
1675 1320 144
112 1942 90
920 566 6
86 1217 51
1616 110 65
1667 1894 75
1010 301 96
2074 590 162
1173 469 159
1032 1269 27
1011 423 175
1280 911 153
1683 392 96
765 875 165
2403 756 61
475 1973 22
1123 548 178
2290 606 196
95 451 144
755 2482 13
1673 940 29
913 2263 168
1909 1916 109
2224 1760 35
205 1987 120
959 946 7
667 1201 168
193 1788 133
557 975 48
22 784 23
1832 2377 184
1949 224 183
2019 2277 21
1112 2183 57
1991 1426 125
1487 2178 170
1644 35 78
169 1069 192
2197 284 29
228 1927 72
698 113 104
1028 1409 146
2009 2186 39
1738 1444 114
2 1351 129
2112 1151 150
1193 1455 70
682 2466 68
214 2294 35
473 973 31
2402 943 178
1378 771 103
1865 1382 191
1324 2238 24
2180 1596 170
2328 2043 111
683 1059 127
1988 1671 129
652 2259 14
2361 784 87
243 1111 73
2129 935 42
719 1004 68
2366 939 82
1758 251 15
1099 959 62
1064 257 8
279 1990 36
1366 2076 187
1387 334 161
831 1049 129
1993 2434 41
1767 1736 11
1600 1838 93
1983 2329 153
1370 1245 195
1609 1753 48
2433 2036 9
765 998 44
150 2016 42
190 1101 13
649 2024 52
1975 1134 92
2201 2355 191
698 2420 181
79 432 145
841 988 100
26 984 139
2493 1194 53
12 1561 35
1841 1498 186
1030 1541 6
1292 893 11
1050 1579 180
972 1778 74
194 1621 98
1327 1277 191
1583 1079 160
419 1490 160
950 425 73
381 2009 168
209 1478 104
371 108 197
2075 1223 12
1520 1262 57
391 1164 84
1217 2433 53
242 2455 14
363 397 61
616 905 200
137 2181 199
2033 1888 185
2241 1018 7
1171 242 83
250 1024 159
2106 2122 96
2297 2417 79
179 1080 59
78 251 8
1230 1582 196
179 2177 154
900 1785 166
594 1109 173
1244 2430 115
169 56 192
974 1423 149
652 987 145
1447 1578 118
2130 2417 75
792 470 113
647 694 92
2316 1950 58
641 1053 37
1052 1988 27
663 1956 184
895 181 98
566 2066 114
1762 79 79
1879 1641 12
1948 2446 171
2476 990 151
1150 834 66
2215 2283 8
2433 1397 168
1023 2383 11
142 2232 188
1706 1480 122
1539 1352 48
1709 2147 77
760 190 23
167 987 56
2029 2115 61
1754 1778 149
4 862 32
1583 2456 198
2107 1253 22
2297 1282 22
1956 948 125
819 1636 177
1775 2360 199
2075 1754 123
636 1644 89
654 733 148
1181 2427 79
1451 2302 162
1700 856 164
717 574 162
746 1474 75
1551 1854 182
1788 200 111
1144 2466 173
30 2482 113
977 1882 48
1891 1672 6
2373 33 190
1821 666 32
2159 1294 7
1579 1949 7
2172 667 197
1698 1021 95
530 2289 110
485 1970 179
1618 1516 27
1185 1669 107
929 2098 119
1891 200 186
1987 1700 21
711 772 14
2416 1086 119
1081 1332 68
888 945 187
2008 1861 28
575 1432 153
272 269 94
2386 338 112
105 178 7
269 1523 14
1 543 138
39 1389 156
790 1648 182
594 1585 188
762 494 18
2002 2483 48
666 754 105
85 1596 126
222 1465 182
2373 607 57
844 94 81
1081 2369 12
1214 969 52
2217 2080 169
2041 1532 134
1280 664 60
1654 437 96
1866 1875 121
1836 681 177
956 726 72
2309 1060 157
603 333 106
441 2376 163
386 1963 81
1837 798 3
509 81 141
2077 1559 94
241 1047 75
2274 1598 81
836 1073 1
708 456 67
1642 1089 82
2169 816 197
1226 1010 13
637 1456 163
44 743 22
423 2013 49
1019 2369 118
2215 151 91
836 260 170
1896 304 41
1980 1700 106
2292 1162 82
1153 1254 34
2030 988 43
1254 84 21
815 219 45
1064 2230 53
1365 2270 71
6 1048 195
1488 1827 77
1324 1541 80
1491 89 111
1772 446 22
971 184 190
1456 2479 180
7 763 136
988 2197 34
2089 436 180
994 2291 163
1466 1002 106
1808 2068 70
635 172 58
499 1046 198
1719 1339 45
2373 1064 29
1765 1302 124
991 105 2
1728 1198 93
2272 364 102
2364 222 166
2422 946 11
496 1742 23
1813 1652 16
556 894 139
280 2383 9
155 1323 108
1746 1339 145
2291 1340 155
2105 2124 26
79 1725 182
2331 2234 24
595 1631 47
2488 1946 6
1117 751 90
2339 1964 136
2198 2210 31
725 1909 138
1975 1921 173
294 1356 135
2062 1057 7
685 2076 183
1620 1742 33
2185 280 80
784 668 37
1626 1619 138
529 2120 178
738 1592 157
296 1061 102
1294 933 137
2081 2376 108
1185 575 120
1791 477 42
852 830 91
475 573 192
2190 788 91
740 2394 54
2064 682 104
2006 1677 80
1696 1140 69
1499 1084 40
2016 122 194
827 723 39
2329 82 200
1479 1892 24
1944 2335 44
2350 203 108
503 142 88
847 892 38
914 1401 17
1691 663 136
1627 1911 78
1383 1261 190
1706 1375 64
723 2196 167
1361 1039 189
312 746 68
2426 1868 190
543 564 148
503 2118 100
24 2227 4
49 1052 171
1137 1959 168
957 1906 132
2463 1820 176
557 32 96
545 592 4
889 1416 51
2320 1273 192
1884 134 176
2143 1070 101
455 2079 186
2258 334 94
491 104 151
2234 723 72
2112 1491 139
1642 759 48
2353 2159 80
303 184 191
3 569 23
1896 1136 9
2362 1743 195
1200 689 179
1543 1358 142
1848 2470 146
1881 1914 165
711 62 186
74 5 63
204 603 70
155 1030 153
2075 1650 131
2245 845 50
1619 1566 164
2053 1274 71
2232 1748 112
870 1899 99
2104 2353 80
554 544 123
1089 1564 35
2351 2023 41
1912 1993 52
1081 478 17
2377 1679 21
2116 2349 199
2180 1636 58
384 1663 103
763 1921 171
1523 1774 42
187 1389 118
1718 1893 99
1268 1750 66
390 1933 20
1082 2004 131
529 1132 190
653 1131 173
2365 1408 96
429 2182 91
1611 1178 72
237 1460 44
1841 134 38
1394 131 75
494 1283 4
2462 791 63
2308 998 152
924 1391 118
1641 1204 167
2384 1162 60
746 387 52
266 2102 41
2210 1498 84
1751 559 22
176 582 188
772 1788 200
5 2480 139
701 531 62
2119 206 141
1329 1960 23
1899 1261 99
436 482 15
2068 994 197
1662 247 139
171 539 77
1556 2418 172
1761 753 159
434 2256 66
727 2402 35
260 394 149
2274 1293 194
434 138 104
1191 712 95
2169 128 99
990 249 80
1648 1150 132
670 876 199
450 437 200
124 1444 132
655 362 35
1886 1468 17
1394 1705 67
954 309 24
1185 793 68
49 2470 131
812 2315 91
428 1244 5
600 1475 196
507 159 190
2359 310 90
1448 41 19
1865 476 27
90 4 67
1413 1841 171
2177 396 42
2487 152 110
688 84 86
891 1251 87
2256 1382 129
503 1778 63
1425 1066 73
833 886 29
1647 890 79
884 2426 66
1261 46 179
822 1356 121
428 2274 135
2252 176 137
1335 1002 138
1811 975 191
357 1072 81
936 2146 83
1826 1219 174
2213 538 199
2406 2163 118
1193 2040 48
947 1604 32
1616 840 59
830 146 195
2200 2146 73
676 1863 73
1274 2481 39
1898 1043 9
1704 778 126
135 1402 79
883 170 137
2479 440 139
1222 1427 64
1678 1576 125
982 201 162
1363 1003 49
96 685 17
138 2008 194
1285 445 60
822 2059 44
169 678 120
2358 542 92
265 1624 116
573 430 42
2216 116 137
2458 260 101
953 94 42
1830 2449 28
1799 1225 125
2275 634 86
39 2171 63
130 85 110
2379 1924 86
1901 525 194
606 1913 166
768 408 78
1285 705 191
2335 892 22
586 235 191
543 499 87
2019 622 25
98 1377 55
2170 609 128
2494 1069 167
1603 2439 1
820 1819 91
2485 1340 157
809 2133 79
1815 1288 40
575 21 28
55 1989 42
1799 1143 3
1322 105 147
2057 1010 34
209 2262 134
687 2305 186
143 1343 61
2162 1621 144
2079 1188 114
564 2092 135
416 657 162
13 912 160
1252 1239 171
1125 508 8
85 952 102
1990 2459 42
1791 2014 13
2356 1061 94
973 403 77
1044 2374 67
152 276 129
533 762 70
4 230 108
393 2452 154
893 71 120
1973 908 95
2006 941 184
1763 1410 8
539 1861 72
1172 655 148
1515 2024 30
490 1767 88
2257 1633 71
740 667 123
2284 661 154
2206 2092 60
387 1688 30
43 818 46
2357 889 53
655 467 34
261 1920 32
1739 1268 177
1099 1815 121
554 1508 70
1717 2223 43
1508 464 61
948 1294 31
1218 544 177
315 1627 118
1335 621 172
1793 1465 155
1367 2194 65
1276 501 13
1101 52 77
1380 944 78
1290 362 186
773 1435 145
2062 564 105
447 1389 109
2158 1431 124
1465 1575 147
1338 1982 119
1612 1293 192
1333 2124 62
1992 1462 131
999 2370 92
901 1680 118
2318 2415 196
1442 937 68
2029 1454 110
1474 482 104
1570 1817 84
368 386 3
231 2158 82
568 811 67
1188 672 78
1246 265 39
172 2048 116
2093 2312 58
1406 54 172
581 241 131
1176 1821 191
878 999 187
1605 1990 32
2245 889 11
1219 1920 60
928 2110 120
1480 217 101
1397 1854 59
831 2094 7
2350 2355 73
1161 2295 55
1334 147 30
472 429 160
2242 1922 89
1367 2034 86
2271 330 62
361 2209 183
2163 7 79
1980 1898 88
1539 1970 184
41 296 67
1134 1010 158
2318 1135 54
636 2259 194
344 1694 67
452 641 95
438 175 113
1098 2052 96
1818 993 93
238 31 14
297 1711 190
629 810 187
1745 1341 183
1070 1121 194
1293 2463 15
28 1808 195
1206 2214 12
1414 1694 65
1204 1496 163
1882 1947 110
1049 1769 25
12 455 36
1128 2134 41
1863 128 178
1318 2341 143
101 901 159
1477 655 136
1431 832 96
1038 624 123
428 530 12
1212 1755 81
2254 794 122
786 1529 44
1001 556 72
1771 2453 176
2132 1141 135
541 487 35
1749 1540 166
297 313 63
53 732 188
1965 58 49
2057 171 51
2183 2302 94
1600 833 45
2332 76 5
1551 27 67
1739 2302 24
1344 442 181
2196 419 60
1364 129 130
1089 1355 14
2480 1070 67
180 78 38
903 616 93
1724 373 49
324 1154 149
1896 198 109
409 2412 194
166 1782 3
111 2329 57
206 1466 24
770 1716 54
1806 1185 79
2146 1841 34
1786 1901 169
1495 1634 86
349 782 33
1257 2411 73
1483 1402 107
636 361 72
2028 2138 144
2269 734 196
1672 104 143
512 380 35
2013 2094 131
1662 735 59
1927 907 192
1944 1189 28
220 1485 25
1594 436 25
595 1083 68
1128 2006 147
187 1590 141
738 351 160
2079 1457 78
2404 543 101
812 226 144
1596 1017 16
1305 1007 169
1642 336 99
1326 814 24
2313 2119 58
897 840 87
2095 347 44
1523 412 81
956 1359 48
1371 991 74
1828 914 55
1897 2473 51
2242 2142 47
1026 714 25
430 1196 4
95 494 68
2188 2141 80
42 626 135
2361 501 108
122 193 94
118 218 4
1444 394 40
1512 1926 29
2479 749 51
393 1445 55
1124 1854 37
1548 1347 27
1062 1405 39
72 1887 6
300 2057 129
1268 1252 20
2492 667 118
847 2094 188
1422 413 68
800 2445 98
1202 829 143
2105 1769 169
1642 1297 63
721 1245 119
2126 1220 185
675 985 60
650 2015 96
4 33 52
1538 1815 164
2152 1220 91
918 1684 119
1585 2253 187
1270 1249 138
2398 425 169
28 649 194
383 1772 70
894 878 15
1605 485 144
1496 1812 94
1393 1799 191
1300 2391 94
1575 1550 175
1815 174 70
1719 1866 34
239 2412 53
1464 1509 150
589 2246 32
1921 107 72
2369 1422 59
1658 2148 183
739 1623 124
907 1207 190
1157 346 152
1924 2119 151
2098 1837 192
907 2011 14
2152 881 45
2244 242 46
2079 2450 106
2015 2286 28
1125 2205 157
1418 1228 156
103 1787 69
1699 1480 12
2490 759 91
776 911 133
2090 2297 151
613 123 130
173 837 78
554 1477 71
1586 153 152
398 2252 2
436 1694 73
417 1717 129
1512 2126 39
2297 1440 145
1057 327 103
1759 2089 22
87 1609 178
129 1980 148
50 1281 46
129 1563 27
2220 678 92
1548 1286 32
2407 1185 155
1770 2210 157
2422 946 66
1017 1861 98
836 191 78
550 1006 87
889 1176 144
2378 131 88
1556 2483 54
1 255 90
2489 216 9
1311 941 200
498 2208 55
305 738 86
2500 793 14
113 1183 184
352 1130 138
34 1601 65
1184 1858 169
1711 1969 109
142 233 38
1685 2500 102
2370 1084 57
2193 141 88
13 1311 21
2336 1664 16
898 1178 175
135 54 134
1379 2287 25
235 576 150
713 1985 25
293 1505 23
1556 1414 63
1974 85 161
1123 1054 198
1823 2251 138
1418 1507 132
2198 6 37
358 1600 91
1899 986 48
1085 593 126
1497 2356 29
339 2343 29
2296 743 38
507 1768 54
2294 1006 147
1110 1425 55
1966 2240 7
1710 493 100
676 1037 62
1148 619 14
1728 713 97
1910 342 131
1591 1535 116
1287 1024 67
1345 237 38
417 894 150
972 845 178
1786 1201 191
286 826 119
669 7 130
1509 2042 26
537 1981 117
471 385 148
329 437 5
701 24 165
1412 1041 51
1505 984 167
1142 171 46
507 1589 57
108 767 58
179 1700 75
1656 192 191
2333 859 197
1418 791 168
1708 735 47
1463 1903 40
927 1596 107
815 351 187
280 277 23
1880 2302 13
677 665 158
71 1039 113
145 1562 181
701 644 57
562 148 140
2309 1791 53
980 119 20
1508 2285 148
2478 676 14
1210 872 43
1340 1337 22
1502 1035 130
1359 1437 70
398 1005 199
1703 606 39
33 66 117
1982 580 24
1728 1772 114
383 1141 17
989 320 190
514 760 52
2272 784 165
2039 513 185
1760 1002 175
1234 60 115
150 1596 123
2042 417 178
1053 566 92
139 811 168
56 1288 25
723 1440 42
1649 1805 35
1869 1442 73
169 2475 177
138 634 42
746 519 16
475 1753 47
1457 525 167
582 645 41
1835 297 77
28 1206 19
1792 1642 66
1192 2472 60
1201 218 17
1944 2125 65
1506 1158 103
167 1776 47
133 2290 47
2146 1004 153
1902 827 154
1185 2150 151
406 1847 26
1471 1837 196
2294 1324 133
1357 897 11
277 693 151
291 1296 53
2351 816 37
1862 1261 185
1230 35 51
583 1807 137
585 791 18
1683 1567 117
1389 1926 102
611 1451 183
1122 194 39
1755 2094 96
281 639 168
2421 1846 84
1366 2197 34
391 133 190
340 184 18
2130 1754 80
1114 601 53
146 2362 152
819 1464 14
2408 2055 77
618 1212 30
2265 967 132
2443 699 123
1156 88 58
659 1965 163
1011 947 66
881 666 147
1041 2298 43
1965 695 185
271 216 1
1207 2107 103
2197 1334 12
1568 416 46
176 1355 49
2420 580 189
1322 93 198
2198 1010 53
72 659 123
1860 498 200
1900 1621 121
2037 1985 113
1916 1454 86
742 200 168
1709 1845 170
2182 2380 109
2208 260 107
1350 1576 27
125 108 175
385 129 147
646 482 115
150 1669 139
308 1794 105
1106 1698 18
956 1642 144
1134 2098 80
737 2056 34
1955 931 53
2405 280 89
2371 1755 73
2177 1702 16
587 1732 81
2476 261 115
1439 1658 191
1939 1482 48
243 2119 71
632 1562 20
1282 991 34
1173 1564 103
503 1929 122
2399 1448 146
907 2223 87
795 1078 45
1184 1548 41
486 1465 124
338 1654 169
631 256 67
2359 13 57
819 702 143
1277 1507 103
685 24 71
1313 751 76
312 1851 196
489 1521 102
184 2299 93
1349 1785 46
2188 1963 144
759 1860 72
1517 673 33
1942 184 89
2016 1477 117
799 40 84
706 2498 147
770 1176 118
1888 21 31
2443 1736 190
374 981 74
778 787 182
1786 523 146
980 1086 114
936 2236 84
2187 1097 49
2086 2253 122
1761 1983 37
189 2420 37
1793 2066 79
1699 1497 187
1012 977 148
2122 703 46
1703 1065 140
73 2258 171
1921 1655 160
1081 2299 192
1461 511 192
868 2034 76
2137 500 176
791 1877 57
273 704 87
968 2016 143
996 1067 57
1687 938 199
127 865 86
1666 1409 141
1361 315 155
513 2253 139
1207 26 31
1750 680 80
814 1339 118
922 1646 192
1970 1840 109
1566 1263 74
1182 1971 148
2054 209 109
1716 1930 67
190 2164 172
542 1260 32
1073 15 167
989 671 169
2200 656 51
945 437 79
1907 1928 114
24 2372 128
2074 962 174
2435 1103 188
1418 1464 154
1127 596 96
1714 2407 171
1360 806 97
2334 1724 53
380 520 127
294 1586 66
1372 445 108
2272 1588 100
1520 1097 116
53 2493 154
758 91 160
858 887 10
866 687 20
260 2314 36
1029 1602 69
370 457 132
79 1075 196
844 1275 117
25 512 186
723 1472 58
1596 675 39
2184 1659 96
723 1984 32
2004 2233 101
591 1481 9
506 203 59
2319 558 162
1621 29 57
714 833 93
2183 1468 121
2359 1075 188
1595 2484 165
2265 2215 147
1891 426 56
664 1468 193
1732 120 81
2219 1129 149
2221 1580 92
1267 88 9
2127 2326 160
19 721 36
1315 457 148
1657 135 161
752 1209 79
2295 90 125
477 2195 91
190 1873 20
302 1703 45
524 1540 10
1828 1638 187
2417 1828 170
124 2400 115
416 1145 37
1170 379 77
359 453 47
2138 916 189
2117 2289 183
575 334 116
1057 657 63
2117 2025 130
2443 1985 73
2050 897 27
1083 203 176
417 666 153
1260 256 18
345 1055 44
1825 2000 23
122 734 14
2418 794 74
2061 1176 75
986 2 23
709 2396 27
1721 1292 189
930 1573 178
194 9 55
923 877 138
817 1304 91
413 2290 54
2480 2300 123
403 103 170
655 230 135
2439 2275 27
1464 635 173
1849 1454 104
2308 519 134
2438 696 180
662 645 60
962 1908 177
973 646 193
473 629 197
1812 536 36
1230 1217 133
2457 1159 150
2121 797 125
621 2027 7
1484 946 175
1692 1589 139
665 605 78
354 443 5
624 2353 26
112 343 125
1150 136 191
147 2329 56
305 1742 110
1882 280 103
84 693 133
2313 1100 162
1048 2406 91
70 2460 29
2140 1229 181
2472 1779 41
957 2149 45
2246 1126 11
2199 617 181
2316 1065 27
1973 2480 194
2483 506 137
334 1106 188
733 639 166
1065 2019 200
33 9 97
939 1479 39
746 1560 170
745 2363 170
1050 1519 68
559 2144 62
604 1691 187
1227 1104 5
1301 1769 24
1348 397 167
231 1666 153
2001 1118 174
787 669 198
1580 1225 129
1261 2159 26
768 1813 135
453 170 163
1571 712 36
1891 1712 65
2251 1461 146
2268 1755 188
718 2066 143
2089 274 16
80 838 189
1770 1887 31
810 2141 122
820 2382 27
521 1412 55
894 1985 158
500 337 30
951 1458 6
366 2335 50
1595 1093 71
120 518 114
254 1118 178
1661 1506 154
2092 1563 177
2355 73 135
517 51 194
1946 1853 148
22 562 145
260 867 86
1940 219 108
269 1055 51
2433 1300 21
1736 1099 193
1417 1183 30
317 560 159
2084 2400 136
858 71 72
2343 281 78
407 796 87
2404 753 119
536 2286 29
1679 961 102
950 2365 186
127 2158 138
2342 1439 194
2097 1034 94
2269 374 136
1610 97 182
1562 740 185
924 1000 132
1850 443 7
1851 788 41
270 1724 189
1468 2084 1
1159 607 139
1964 921 167
759 2186 24
230 1799 157
471 676 197
1684 2489 20
447 2191 76
2470 520 142
1198 1046 55
2159 1559 195
1292 842 38
1401 733 76
2237 2439 159
581 2086 14
285 254 128
286 2427 71
2037 782 171
1550 1349 78
1200 1836 174
638 852 132
118 234 172
2377 530 132
1045 343 68
1 29 117
135 2500 158
1741 582 24
942 2132 150
1540 1800 176
1600 1864 46
2227 202 25
1584 2390 136
2025 1396 146
1171 1484 118
893 1253 125
2274 241 56
1969 2071 44
31 757 166
615 481 59
2359 625 9
312 1668 118
929 91 100
2081 1371 191
413 1501 65
776 85 83
412 107 69
1145 1327 37
2367 1593 189
1339 866 13
1448 2447 60
1053 772 57
1111 2058 67
1251 171 146
1426 1149 75
775 2044 30
537 1764 17
1859 1435 102
2062 156 16
1175 583 140
2083 1525 101
1576 1838 177
1301 1925 65
538 196 126
1130 352 189
795 1745 107
76 1072 91
1885 2320 180
2196 159 8
846 375 39
1157 2321 33
2267 2223 158
554 1272 156
1890 126 30
629 2040 128
395 991 49
555 518 193
31 119 149
1557 491 83
2244 1440 102
1494 1928 70
394 1034 32
1093 1136 27
843 1581 17
2462 1218 108
921 746 167
122 283 183
2007 1492 71
2116 2196 144
1764 2272 193
2436 1718 13
882 968 122
1953 2323 29
731 430 25
200 1654 152
1795 42 65
884 1221 145
389 1578 14
203 1159 3
1254 2250 59
1576 591 39
1824 1396 102
2206 1559 124
1788 1042 27
31 1210 21
936 2044 132
675 1403 101
572 1276 10
1431 295 23
1737 1891 16
2453 1755 183
434 189 56
1961 446 124
543 2160 88
944 348 185
1390 1669 189
699 2281 80
208 1814 61
448 2347 72
2183 2345 143
1449 637 154
50 1389 24
1826 1752 191
140 2047 163
776 125 79
2486 104 182
378 1351 49
171 995 17
230 2227 39
2416 1173 153
863 1422 68
1129 1466 130
260 1583 190
2487 1420 136
2141 1167 33
986 823 4
162 1897 142
2151 933 73
2362 2271 114
2166 646 121
1811 2129 171
1622 1097 5
1015 800 11
270 2053 36
472 1345 31
1383 2262 196
2152 667 84
1211 1759 173
2296 407 15
953 285 106
813 522 142
1576 2291 126
1612 2168 183
784 888 194
551 2180 69
1275 885 30
336 2461 106
1512 2493 25
51 2017 61
2302 760 110
424 68 101
2226 757 141
49 1656 8
1950 992 161
1883 2337 20
271 2180 126
520 2310 102
1632 825 8
226 2302 84
1470 2489 165
1464 1625 135
271 352 198
1225 2012 68
266 841 180
2456 1029 62
2433 728 161
1140 167 38
2049 2349 5
2049 566 22
2134 676 42
15 2148 163
1455 2177 55
1659 1722 185
689 467 117
857 181 30
2038 1130 190
2344 2005 102
1885 421 188
137 1553 183
1529 1367 73
1694 1959 180
1484 988 24
398 1097 195
1402 154 121
504 973 21
1933 2454 25
34 58 66
233 2281 168
1967 691 69
2427 329 80
1645 2204 50
1334 2004 111
741 1028 11
528 283 194
2188 364 162
66 1100 52
2319 2082 159
604 1359 39
2179 2465 58
1573 2222 123
757 868 61
1799 344 35
1842 1520 153
1563 912 12
1794 2406 82
1152 761 99
1272 843 95
85 1536 101
956 1156 124
651 1689 140
1511 1018 133
2449 1211 96
1420 2149 190
172 852 96
1224 1138 50
801 1908 135
885 2178 13
642 305 97
663 38 152
852 233 166
1439 2446 29
695 2027 179
746 1929 6
150 258 113
1902 200 128
193 2354 196
1543 68 150
2377 1756 143
1749 104 16
1548 1074 166
2250 138 170
1832 471 54
1269 553 179
1157 2482 96
87 1430 132
1779 360 153
90 1959 39
2055 473 9
657 1672 148
1004 2012 175
1320 1108 6
100 789 62
1546 1936 93
733 77 68
404 868 100
1055 168 13
1115 130 194
1978 2355 13
1832 2390 127
148 1300 90
2175 837 13
1888 1958 104
1992 483 30
2028 862 153
997 647 184
598 1555 33
603 946 77
725 1582 196
1624 133 144
103 370 83
2490 1938 200
36 680 55
2153 900 151
133 1446 94
1872 150 191
1705 2178 106
320 2251 129
229 723 69
1286 1275 185
1652 1385 38
916 190 82
1575 1260 51
2047 1761 28
2234 1922 162
319 2047 151
1264 1462 47
959 2095 172
446 1003 47
421 255 154
761 1087 20
1236 1617 114
836 1093 19
