1000 1500
578 751 8
730 82 196
679 677 154
900 785 166
94 609 173
244 930 115
169 56 192
974 923 149
652 987 145
447 578 118
630 917 75
792 470 113
147 694 92
816 950 58
641 53 37
552 488 27
163 956 184
395 181 98
66 66 114
262 579 79
879 141 12
948 446 171
976 490 151
150 334 66
215 283 8
433 897 168
523 883 11
642 232 188
706 480 122
539 352 48
209 647 77
760 190 23
667 487 56
29 615 61
254 778 149
504 862 32
83 456 198
107 753 22
297 282 22
456 948 125
319 136 177
775 860 199
75 254 123
636 644 89
154 233 148
681 927 79
451 802 162
200 856 164
717 574 162
246 474 75
551 354 182
288 700 111
644 466 173
530 982 113
477 382 48
891 672 6
373 33 190
321 166 32
659 294 7
579 949 7
172 167 197
698 21 95
530 789 110
985 970 179
618 16 27
685 169 107
929 98 119
391 200 186
487 200 21
711 272 14
416 86 119
581 332 68
388 445 187
508 361 28
75 432 153
272 269 94
886 338 112
605 678 7
769 23 14
1 543 138
39 389 156
290 648 182
94 585 188
762 494 18
502 483 48
666 754 105
85 96 126
222 965 182
873 107 57
344 594 81
81 869 12
714 969 52
217 80 169
41 532 134
780 664 60
654 937 96
366 875 121
836 681 177
456 726 72
809 560 157
603 833 106
441 376 163
886 963 81
837 798 3
509 81 141
77 59 94
741 547 75
774 98 81
336 73 1
708 956 67
142 589 82
169 316 197
226 10 13
137 456 163
44 743 22
923 513 49
19 369 118
715 651 91
336 760 170
896 304 41
980 200 106
792 662 82
653 754 34
30 988 43
254 84 21
815 719 45
64 230 53
865 770 71
6 48 195
488 327 77
324 541 80
991 589 111
272 946 22
471 184 190
956 979 180
7 263 136
488 197 34
89 936 180
994 791 163
966 2 106
808 568 70
135 672 58
999 546 198
219 839 45
373 564 29
265 802 124
491 605 2
228 198 93
772 364 102
364 722 166
422 446 11
496 742 23
813 152 16
56 394 139
280 883 9
655 823 108
246 339 145
291 340 155
605 624 26
79 725 182
331 734 24
595 131 47
988 446 6
617 751 90
339 964 136
698 210 31
225 909 138
475 921 173
294 856 135
562 57 7
185 76 183
120 742 33
685 780 80
284 668 37
126 119 138
29 120 178
738 92 157
796 61 102
794 433 137
581 876 108
185 75 120
791 477 42
352 330 91
975 73 192
190 788 91
240 894 54
64 682 104
6 177 80
696 140 69
999 84 40
516 622 194
827 723 39
829 582 200
979 892 24
944 835 44
350 703 108
503 142 88
347 892 38
414 401 17
691 163 136
127 411 78
383 261 190
706 875 64
723 196 167
361 39 189
812 246 68
426 868 190
543 64 148
503 618 100
24 227 4
49 52 171
637 459 168
457 406 132
963 820 176
557 532 96
45 592 4
389 916 51
320 273 192
384 134 176
643 570 101
955 79 186
258 334 94
491 104 151
234 723 72
612 991 139
642 259 48
353 659 80
303 684 191
3 569 23
896 136 9
362 743 195
700 189 179
43 358 142
848 470 146
381 914 165
711 62 186
74 505 63
704 103 70
155 530 153
75 150 131
245 845 50
119 66 164
553 774 71
732 748 112
870 399 99
104 353 80
54 44 123
89 564 35
851 23 41
912 493 52
581 478 17
877 179 21
616 349 199
180 636 58
884 663 103
263 421 171
23 274 42
687 889 118
718 893 99
268 750 66
390 933 20
82 4 131
29 632 190
153 631 173
865 408 96
429 682 91
611 178 72
237 460 44
841 634 38
894 631 75
994 783 4
462 291 63
308 998 152
424 891 118
641 704 167
884 662 60
246 387 52
766 602 41
210 498 84
251 59 22
176 582 188
272 288 200
505 980 139
701 531 62
119 206 141
829 460 23
399 761 99
936 482 15
568 494 197
162 747 139
671 539 77
556 918 172
761 753 159
434 256 66
727 402 35
760 394 149
274 793 194
934 138 104
691 212 95
669 628 99
990 249 80
648 150 132
670 876 199
450 437 200
124 444 132
155 862 35
386 968 17
394 705 67
954 309 24
685 793 68
49 470 131
812 815 91
428 744 5
600 475 196
507 159 190
859 810 90
448 41 19
365 976 27
90 504 67
413 841 171
677 396 42
987 652 110
188 84 86
391 251 87
756 382 129
503 278 63
425 566 73
833 886 29
647 890 79
884 926 66
261 46 179
822 856 121
928 774 135
252 676 137
335 2 138
311 975 191
357 72 81
936 146 83
826 719 174
713 38 199
906 163 118
693 540 48
947 104 32
116 840 59
830 646 195
200 646 73
676 863 73
774 481 39
898 543 9
204 278 126
135 402 79
383 170 137
479 940 139
722 427 64
678 576 125
982 701 162
863 3 49
96 685 17
138 508 194
285 945 60
822 59 44
669 678 120
858 42 92
265 624 116
73 930 42
716 616 137
958 760 101
453 94 42
830 449 28
799 225 125
275 134 86
39 171 63
630 85 110
879 924 86
401 25 194
106 413 166
768 408 78
785 705 191
835 892 22
86 735 191
543 999 87
19 622 25
598 377 55
670 109 128
494 69 167
103 439 1
820 319 91
985 340 157
809 633 79
815 788 40
75 21 28
555 989 42
799 643 3
322 105 147
57 510 34
709 762 134
687 805 186
143 843 61
162 621 144
579 188 114
64 592 135
416 657 162
13 412 160
252 739 171
125 508 8
585 952 102
490 959 42
791 14 13
856 61 94
473 403 77
544 374 67
652 276 129
533 762 70
504 730 108
893 452 154
393 571 120
473 408 95
506 441 184
263 410 8
39 361 72
172 655 148
515 524 30
490 767 88
757 633 71
740 667 123
284 161 154
706 92 60
387 688 30
43 318 46
357 389 53
155 467 34
761 920 32
739 268 177
99 315 121
54 8 70
217 723 43
8 464 61
948 794 31
718 44 177
315 627 118
335 621 172
793 965 155
867 694 65
776 1 13
101 552 77
380 944 78
790 362 186
273 435 145
562 564 105
947 889 109
158 431 124
465 75 147
838 982 119
612 293 192
833 124 62
992 462 131
499 370 92
401 180 118
318 915 196
442 937 68
29 454 110
974 982 104
570 817 84
368 386 3
231 158 82
568 311 67
688 172 78
246 765 39
672 48 116
593 312 58
406 54 172
581 741 131
676 321 191
378 999 187
605 490 32
745 389 11
719 920 60
928 610 120
480 717 101
397 854 59
831 594 7
850 855 73
161 295 55
334 147 30
472 429 160
242 422 89
367 34 86
271 330 62
861 209 183
163 507 79
980 898 88
539 470 184
541 796 67
634 510 158
318 135 54
136 259 194
844 694 67
952 141 95
938 175 113
98 552 96
818 493 93
238 531 14
297 711 190
629 810 187
745 841 183
570 121 194
293 963 15
528 808 195
706 714 12
914 694 65
204 996 163
382 947 110
49 769 25
512 955 36
128 634 41
863 128 178
818 341 143
101 401 159
477 155 136
431 832 96
538 624 123
928 30 12
212 755 81
254 294 122
786 529 44
1 556 72
271 453 176
632 641 135
41 987 35
249 540 166
797 313 63
53 732 188
465 558 49
557 171 51
183 302 94
100 333 45
332 76 5
51 27 67
739 802 24
844 442 181
696 919 60
364 629 130
89 855 14
980 570 67
680 578 38
403 116 93
724 873 49
324 154 149
396 198 109
909 412 194
666 782 3
611 829 57
706 966 24
770 716 54
806 685 79
146 841 34
286 901 169
995 634 86
349 282 33
257 911 73
983 902 107
636 861 72
528 138 144
769 234 196
172 604 143
12 880 35
513 594 131
162 235 59
927 907 192
444 189 28
720 485 25
94 436 25
95 583 68
628 6 147
687 590 141
238 851 160
579 957 78
404 43 101
812 226 144
596 17 16
805 7 169
642 336 99
326 314 24
313 619 58
397 340 87
95 847 44
523 912 81
456 359 48
871 991 74
328 414 55
897 473 51
242 642 47
526 214 25
930 696 4
595 994 68
188 641 80
42 126 135
861 1 108
622 693 94
118 718 4
944 894 40
12 926 29
979 749 51
893 445 55
624 354 37
548 347 27
62 905 39
572 887 6
300 57 129
268 752 20
992 167 118
847 94 188
422 913 68
300 445 98
202 329 143
105 769 169
642 297 63
721 245 119
626 220 185
175 985 60
150 15 96
504 33 52
538 815 164
652 220 91
918 684 119
585 253 187
270 249 138
398 425 169
28 149 194
383 272 70
894 878 15
105 485 144
496 812 94
893 799 191
300 891 94
75 550 175
315 174 70
219 866 34
239 912 53
464 509 150
89 246 32
921 107 72
369 422 59
158 648 183
239 123 124
907 707 190
157 346 152
924 119 151
98 837 192
407 511 14
652 881 45
744 742 46
579 950 106
515 786 28
625 205 157
918 228 156
103 287 69
699 980 12
490 759 91
776 411 133
90 297 151
113 123 130
673 837 78
554 977 71
86 653 152
398 752 2
436 694 73
917 717 129
512 126 39
297 940 145
57 827 103
759 589 22
587 109 178
629 980 148
550 281 46
129 63 27
720 678 92
48 786 32
407 685 155
770 710 157
422 946 66
17 861 98
336 191 78
50 6 87
389 676 144
378 131 88
556 483 54
1 755 90
489 216 9
311 941 200
998 708 55
305 238 86
500 793 14
613 683 184
352 130 138
34 601 65
684 858 169
711 969 109
642 733 38
685 500 102
870 584 57
693 641 88
13 811 21
836 664 16
898 678 175
135 554 134
879 287 25
735 76 150
713 985 25
793 505 23
56 914 63
474 85 161
123 54 198
823 751 138
918 7 132
198 506 37
358 600 91
899 986 48
85 593 126
997 856 29
339 343 29
796 743 38
507 768 54
794 506 147
610 925 55
466 240 7
210 493 100
176 37 62
648 619 14
728 713 97
910 842 131
91 35 116
287 524 67
345 737 38
417 894 150
972 845 178
286 201 191
286 326 119
669 7 130
9 542 26
537 981 117
471 385 148
329 937 5
701 524 165
412 41 51
505 484 167
142 671 46
507 89 57
108 267 58
679 200 75
156 192 191
833 859 197
918 291 168
708 235 47
463 403 40
427 96 107
315 351 187
280 777 23
880 302 13
677 165 158
571 39 113
145 562 181
201 644 57
62 648 140
809 291 53
980 619 20
8 285 148
978 676 14
710 372 43
340 337 22
502 35 130
359 437 70
898 505 199
203 106 39
33 66 117
482 580 24
728 772 114
383 141 17
489 320 190
514 260 52
272 284 165
39 13 185
760 502 175
734 60 115
650 596 123
542 417 178
53 566 92
139 311 168
56 788 25
223 440 42
649 805 35
369 442 73
669 975 177
138 634 42
746 19 16
975 253 47
957 525 167
582 145 41
335 297 77
28 206 19
292 642 66
192 472 60
701 218 17
944 625 65
506 158 103
667 276 47
633 790 47
146 4 153
902 327 154
185 650 151
406 347 26
971 337 196
794 324 133
857 897 11
777 693 151
291 796 53
351 316 37
362 761 185
730 535 51
83 807 137
585 791 18
183 67 117
389 426 102
611 451 183
622 194 39
755 594 96
281 639 168
421 346 84
866 697 34
391 633 190
840 184 18
130 754 80
614 601 53
146 862 152
319 964 14
908 555 77
618 212 30
265 967 132
943 699 123
156 588 58
159 465 163
511 947 66
381 166 147
541 298 43
465 195 185
271 716 1
207 107 103
697 834 12
68 416 46
176 355 49
920 80 189
322 593 198
198 510 53
72 659 123
860 998 200
900 121 121
37 985 113
916 954 86
742 200 168
209 845 170
682 880 109
208 260 107
850 76 27
125 608 175
885 129 147
146 482 115
150 169 139
308 794 105
106 698 18
956 642 144
134 98 80
737 556 34
955 931 53
905 280 89
871 755 73
177 702 16
87 232 81
976 261 115
939 658 191
439 982 48
243 619 71
632 62 20
782 991 34
673 564 103
503 929 122
899 448 146
407 223 87
795 578 45
684 548 41
486 465 124
338 654 169
131 256 67
859 513 57
319 202 143
277 507 103
685 24 71
313 251 76
312 851 196
489 521 102
184 799 93
849 785 46
188 463 144
259 860 72
17 173 33
442 684 89
16 977 117
299 40 84
206 998 147
770 676 118
388 21 31
443 736 190
374 481 74
778 787 182
786 523 146
980 86 114
936 736 84
187 97 49
86 753 122
261 983 37
689 920 37
793 66 79
199 497 187
12 977 148
122 203 46
703 565 140
573 258 171
921 655 160
81 299 192
961 511 192
868 34 76
137 500 176
791 377 57
273 704 87
968 516 143
496 567 57
187 438 199
627 365 86
666 909 141
361 815 155
13 753 139
707 526 31
250 180 80
314 839 118
422 146 192
970 840 109
566 763 74
682 971 148
54 709 109
716 430 67
690 664 172
542 260 32
573 515 167
989 171 169
200 656 51
445 937 79
407 428 114
524 372 128
74 462 174
935 103 188
418 464 154
127 596 96
214 407 171
860 306 97
834 224 53
880 520 127
794 586 66
372 445 108
272 88 100
520 597 116
553 493 154
258 591 160
358 887 10
866 687 20
260 314 36
29 102 69
870 457 132
579 75 196
844 275 117
25 512 186
723 972 58
96 175 39
184 659 96
723 984 32
504 233 101
591 481 9
506 703 59
819 558 162
121 29 57
